Unnamed: 0,reactant_type,reactant_subtype,reactant_smiles,shadow_smiles
742,carbonyl,ald,COCc1ccc(O)cc1CCCC=O,COCc1ccc(O)cc1CCCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
743,carbonyl,ald,Cn1ncnc1C=O,Cn1ncnc1C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
744,alkyl,alkyl,OCCCCCCCCCC=P(c1ccccc1)(c1ccccc1)c1ccccc1,OCCCCCCCCCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
745,carbonyl,ald,O=CCCCCCBr,BrCCCCCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
746,alkyl,alkyl,CC(C)(C)C(=O)OCCCCCCCCC=P(c1ccccc1)(c1ccccc1)c1ccccc1,CC(C)(C)C(=O)OCCCCCCCCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
747,alkyl,alkyl,CNC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1,CNC(=O)C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
748,carbonyl,ald,O=Cc1ccc(OCC2CCCC2)c(F)c1F,Fc1c(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)ccc(OCC2CCCC2)c1F
749,carbonyl,ald,O=Cc1cc([N+](=O)[O-])ccc1N1CCCC1,O=[N+]([O-])c1ccc(N2CCCC2)c(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c1
750,carbonyl,ald,CCn1c2cc(C=O)ccc2c2ccc(/C=C/c3ccc(F)cc3)cc21,CCn1c2cc(C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)ccc2c2ccc(/C=C/c3ccc(F)cc3)cc21
751,carbonyl,ald,O=CCc1ccccc1,C(Cc1ccccc1)=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
752,carbonyl,keto,CC(=O)c1ccc(C#N)cc1,CC(=O)c1ccc(C#N)cc1
753,carbonyl,ald,COc1ccc2c(c1)[C@@]1(CCOCc3ccccc3)[C@H](CO)[C@@]1(C=O)N2C(=O)OC(C)(C)C,COc1ccc2c(c1)[C@@]1(CCOCc3ccccc3)[C@H](CO)[C@@]1(C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)N2C(=O)OC(C)(C)C
754,carbonyl,ald,O=Cc1cccn1-c1ccc(Cl)cc1C(=O)c1cccc(Cl)c1Cl,O=C(c1cc(Cl)ccc1-n1cccc1C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)c1cccc(Cl)c1Cl
755,carbonyl,keto,O=C1C=C(Cl)CCC1,O=C1C=C(Cl)CCC1
756,carbonyl,keto,CC1(C)O[C@H]2[C@H](O1)C(=O)C=C[C@@H]2O,CC1(C)O[C@H]2[C@H](O1)C(=O)C=C[C@@H]2O
757,carbonyl,ald,CCC1(C=O)CCCn2cccc21,CCC1(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)CCCn2cccc21
758,carbonyl,ald,O=Cc1c(Cl)c2ccc(O)cc2oc1=O,O=c1oc2cc(O)ccc2c(Cl)c1C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
759,alkyl,alkyl,C=C1C[C@H](C[C@@H]2CCO[C@H](c3cccc(C=P(c4ccccc4)(c4ccccc4)c4ccccc4)c3)O2)O[C@@H](CCO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)C1,C=C1C[C@H](C[C@@H]2CCO[C@H](c3cccc(C=P(c4ccccc4)(c4ccccc4)[Yb]4CCCCC4)c3)O2)O[C@@H](CCO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)C1
760,carbonyl,ald,CC(=O)Oc1ccccc1C=O,CC(=O)Oc1ccccc1C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
761,carbonyl,ester,O=C1CCC(=O)O1,O=C1CCC(=O)O1
762,carbonyl,ald,C/C=C/C=C/CCCC=O,C/C=C/C=C/CCCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
763,carbonyl,ald,COc1ccc(C2(C=O)CC2)cc1,COc1ccc(C2(C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)CC2)cc1
764,carbonyl,keto,CC1(C)OCC(=O)[C@@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)O1,CC1(C)OCC(=O)[C@@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)O1
765,carbonyl,ald,O=Cc1ccccc1Oc1ccc(Cl)cc1,Clc1ccc(Oc2ccccc2C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)cc1
766,carbonyl,ald,O=Cc1c[n+]([O-])c2cc(F)c(F)cc2[n+]1[O-],[O-][n+]1cc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)[n+]([O-])c2cc(F)c(F)cc21
767,carbonyl,ald,CC[C@H]([C@@H](CC=O)c1ccccc1)[N+](=O)[O-],CC[C@H]([C@@H](CC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)c1ccccc1)[N+](=O)[O-]
768,carbonyl,ald,O=Cc1ccc(Br)cc1I,Brc1ccc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c(I)c1
769,carbonyl,keto,CC1=C(I)C(C)(C)C(=O)CC1,CC1=C(I)C(C)(C)C(=O)CC1
770,carbonyl,keto,CC1CCCCC1=O,CC1CCCCC1=O
771,carbonyl,ald,COc1cccc(C=O)c1CO[Si](C)(C)C(C)(C)C,COc1cccc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c1CO[SiH3]
772,carbonyl,ald,Cn1c2ccccc2c2cc(C=O)ccc21,Cn1c2ccccc2c2cc(C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)ccc21
773,carbonyl,ald,Cc1ccc(S(=O)(=O)N2[C@H](c3ccc(F)cc3)[C@H](C=O)[C@H]3CC(=O)C=C[C@]32C)cc1,Cc1ccc(S(=O)(=O)N2[C@H](c3ccc(F)cc3)[C@H](C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)[C@H]3CC(=O)C=C[C@]32C)cc1
774,carbonyl,ald,CCOC(=O)c1c(C=O)c2ccccc2n1C,CCOC(=O)c1c(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c2ccccc2n1C
775,alkyl,alkyl,C=C(C)COC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1,C=C(C)COC(=O)C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
776,alkyl,alkyl,CCC=P(c1ccccc1)(c1ccccc1)c1ccccc1,CCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
777,carbonyl,ald,CC1(C)O[C@@H](CC=O)C[C@@H](c2ccccc2)O1,CC1(C)O[C@@H](CC=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)C[C@@H](c2ccccc2)O1
778,carbonyl,ald,CCCCCCCCCCOCC(COCCCCCCCCC=O)O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,CCCCCCCCCCOCC(COCCCCCCCCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C
779,carbonyl,ald,O=Cc1cc(F)cc(F)c1OCc1cccc(Br)c1,Fc1cc(F)c(OCc2cccc(Br)c2)c(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c1
780,carbonyl,ald,CC(C)(C)[Si](OCc1cc(Cl)ccc1C=O)(c1ccccc1)c1ccccc1,CC(C)(C)[Si](OCc1cc(Cl)ccc1C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)(c1ccccc1)c1ccccc1
781,carbonyl,ald,CCCCC[C@@H]1O[C@@H]1C=O,CCCCC[C@@H]1O[C@@H]1C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
782,carbonyl,ald,CC(C)(C)[Si](OC[C@H]1C[C@@H]1C=O)(c1ccccc1)c1ccccc1,CC(C)(C)[Si](OC[C@H]1C[C@@H]1C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)(c1ccccc1)c1ccccc1
783,carbonyl,keto,C=CCOCC1CCCCC1=O,C=CCOCC1CCCCC1=O
784,carbonyl,ald,O=Cc1ccn(Cc2ccc(C(F)(F)F)cc2)n1,FC(F)(F)c1ccc(Cn2ccc(C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)n2)cc1
785,carbonyl,keto,COCO[C@H](CC[C@@H]1O[C@@H](CCCOC(=O)C(C)(C)C)CC1=O)C[C@@H](C)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,COCO[C@H](CC[C@@H]1O[C@@H](CCCOC(=O)C(C)(C)C)CC1=O)C[C@@H](C)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C
786,carbonyl,ald,CCOc1ccc(C2=CCC(C=O)CC2)c(F)c1F,CCOc1ccc(C2=CCC(C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)CC2)c(F)c1F
787,carbonyl,keto,COC(=O)CCC(=O)CCC(=O)O,COC(=O)CCC(=O)CCC(=O)O
788,carbonyl,ald,Cc1ccc([C@@H]2Oc3ccc(C)cc3[C@@H](CC=O)[C@@]23C(=O)N(C(=O)OC(C)(C)C)c2ccccc23)cc1,Cc1ccc([C@@H]2Oc3ccc(C)cc3[C@@H](CC=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)[C@@]23C(=O)N(C(=O)OC(C)(C)C)c2ccccc23)cc1
789,carbonyl,keto,CCCC(=O)CO[C@@H]1O[C@@H]2CO[C@H](c3ccccc3)O[C@@H]2[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1,CCCC(=O)CO[C@@H]1O[C@@H]2CO[C@H](c3ccccc3)O[C@@H]2[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1
790,carbonyl,keto,COC(=O)CCC1CCCCC1=O,COC(=O)CCC1CCCCC1=O
791,carbonyl,keto,CC(=O)N[C@@]1(CCOCOCc2ccccc2)C=CC(=O)[C@H](OCOCc2ccccc2)[C@@H]1C#N,CC(=O)N[C@@]1(CCOCOCc2ccccc2)C=CC(=O)[C@H](OCOCc2ccccc2)[C@@H]1C#N
792,carbonyl,ald,COC(=O)c1ncccc1C=O,COC(=O)c1ncccc1C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
793,carbonyl,ald,COc1cc(C=O)c(OC)c2ccccc12,COc1cc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c(OC)c2ccccc12
794,carbonyl,ald,CNC(=O)c1c2cc(C3CC3)c(C(CC=O)S(C)(=O)=O)cc2nn1-c1ccc(C)cc1,CNC(=O)c1c2cc(C3CC3)c(C(CC=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)S(C)(=O)=O)cc2nn1-c1ccc(C)cc1
795,carbonyl,keto,CCCCC#CC(=O)c1ccccn1,CCCCC#CC(=O)c1ccccn1
796,carbonyl,keto,CC1(C)O[C@H]2O[C@H](CN=[N+]=[N-])C(=O)[C@H]2O1,CC1(C)O[C@H]2O[C@H](CN=[N+]=[N-])C(=O)[C@H]2O1
797,carbonyl,ald,COc1ccccc1-c1csc(C=O)n1,COc1ccccc1-c1csc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)n1
798,carbonyl,keto,O=C1CC2CC1N(Cc1ccccc1)C2=O,O=C1CC2CC1N(Cc1ccccc1)C2=O
799,carbonyl,keto,CCC(=O)c1cc(OC)ccc1Br,CCC(=O)c1cc(OC)ccc1Br
800,alkyl,alkyl,COc1cc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)ccc1OCc1ccccc1,COc1cc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)ccc1OCc1ccccc1
801,carbonyl,ald,COC(=O)N[C@H](C(=O)Nc1ccccc1CC[C@@H]1CN(C(=O)OC(C)(C)C)[C@H](C=O)CO1)C(c1ccccc1)c1ccccc1,COC(=O)N[C@H](C(=O)Nc1ccccc1CC[C@@H]1CN(C(=O)OC(C)(C)C)[C@H](C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)CO1)C(c1ccccc1)c1ccccc1
802,carbonyl,ald,N#Cc1cc(C=O)ccc1Oc1cnc(C(F)(F)F)nc1,N#Cc1cc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)ccc1Oc1cnc(C(F)(F)F)nc1
803,carbonyl,keto,COc1ccc(Br)c2c1CCCC2=O,COc1ccc(Br)c2c1CCCC2=O
804,carbonyl,ald,O=Cc1ccc(S(F)(F)(F)(F)F)cc1,FS(F)(F)(F)(F)c1ccc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)cc1
805,alkyl,alkyl,O=C(O)Cc1ccc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,O=C(O)Cc1ccc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)cc1
806,alkyl,alkyl,O=C(C=Cc1ccc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1,O=C(C=Cc1ccc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)cc1)c1ccccc1
807,carbonyl,ald,Cn1c(C=O)cc2cc(F)ccc21,Cn1c(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)cc2cc(F)ccc21
808,carbonyl,ald,CC1=C(C=O)[C@@]2(C)CCC[C@@](C)(CC/C=C(/C)C)[C@@H]2CC1,CC(C)=CCC[C@]1(C)CCC[C@]2(C)C(C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)=C(C)CC[C@@H]12
809,carbonyl,ald,CC1=C(C=O)[C@]2(C)CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]2C[C@@H]1O,CC1=C(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)[C@]2(C)CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]2C[C@@H]1O
810,phosphine,phosphine,CCCCP1c2ccccc2-c2ccccc21,CCCCP1c2ccccc2-c2ccccc21
811,carbonyl,ald,O=Cc1ccc(CN2C(=O)c3ccccc3C2=O)c2ccccc12,O=C1c2ccccc2C(=O)N1Cc1ccc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c2ccccc12
812,carbonyl,keto,C=C(CCC(C)=O)c1ccccc1,C=C(CCC(C)=O)c1ccccc1
813,carbonyl,keto,CC(=O)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O[Si](C)(C)C(C)(C)C)CC[C@]4(C)[C@H]3CC[C@]12C,CC(=O)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O[Si](C)(C)C(C)(C)C)CC[C@]4(C)[C@H]3CC[C@]12C
814,carbonyl,ald,CCCCCCCCN1c2ccccc2Sc2cc(C=O)ccc21,CCCCCCCCN1c2ccccc2Sc2cc(C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)ccc21
815,alkyl,alkyl,Cc1ccc(S(=O)(=O)N(CC(=O)C=P(c2ccccc2)(c2ccccc2)c2ccccc2)c2ccccc2)cc1,Cc1ccc(S(=O)(=O)N(CC(=O)C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c2ccccc2)cc1
816,carbonyl,ald,Cc1cccc(C(=O)/C=C/C[C@H](CC=O)c2ccccc2)c1,Cc1cccc(C(=O)/C=C/C[C@H](CC=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c2ccccc2)c1
817,carbonyl,ald,C[C@@]1(C[C@@H]2O[C@H]2C=O)CO1,C[C@@]1(C[C@@H]2O[C@H]2C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)CO1
818,carbonyl,ald,O=Cc1ccc(OCCCN2CCCCC2)cc1,C(c1ccc(OCCCN2CCCCC2)cc1)=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
819,carbonyl,ald,COc1ccc2c3c(c4cc(OC)c(OC)cc4c2c1)C[C@@H](CC=O)N(C(=O)OC(C)(C)C)C3,COc1ccc2c3c(c4cc(OC)c(OC)cc4c2c1)C[C@@H](CC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)N(C(=O)OC(C)(C)C)C3
820,alkyl,alkyl,O=C(C(C(C[N+](=O)[O-])c1ccccc1)=P(c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1,O=C(C(C(C[N+](=O)[O-])c1ccccc1)=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)c1ccccc1
821,carbonyl,ald,COC(=O)[C@@]1(C)[C@H](c2ccc(OC)cc2)[C@@H](CC=O)[C@@H]2c3cc(OC)c(OC)cc3CCN21,COC(=O)[C@@]1(C)[C@H](c2ccc(OC)cc2)[C@@H](CC=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)[C@@H]2c3cc(OC)c(OC)cc3CCN21
822,carbonyl,ald,CC(=O)O[C@H](/C=C(\C)CCC=O)C(C)C,CC(=O)O[C@H](/C=C(\C)CCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)C(C)C
823,carbonyl,keto,COC(=O)C12C(=O)C(C=C1C)Cc1ncsc12,COC(=O)C12C(=O)C(C=C1C)Cc1ncsc12
824,carbonyl,ald,O=Cc1ccccc1C#Cc1ccsc1,C(#Cc1ccccc1C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)c1ccsc1
825,alkyl,alkyl,COc1ccc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1Br,COc1ccc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)cc1Br
826,carbonyl,ald,CC1(C)Oc2cccc(CCCCCCCC=O)c2O1,CC1(C)Oc2cccc(CCCCCCCC=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)c2O1
827,carbonyl,ald,COc1cc([N+](=O)[O-])c(C=O)c(OC)c1OC,COc1cc([N+](=O)[O-])c(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c(OC)c1OC
828,carbonyl,ald,CC(C)[Si](CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(O[C@H](C#CCCCCC=O)C#CCCCCCC/C=C/[C@@H](C#C[Si](C)(C)C(C)(C)C)O[Si](CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(C(C)C)C(C)C)C(C)C,CC(C)(C)[Si](C)(C)C#C[C@H](/C=C/CCCCCCC#C[C@@H](C#CCCCCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)O[SiH3])O[SiH3]
829,carbonyl,ald,O=Cc1ccc2c(c1)OCO2,C(c1ccc2c(c1)OCO2)=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
830,carbonyl,ald,O=Cc1ccccc1-[n+]1cc([O-])on1,[O-]c1c[n+](-c2ccccc2C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)no1
831,carbonyl,keto,COC1(OC)C(=O)[C@H]2CC[C@@]13COC(=O)[C@@H]3C2,COC1(OC)C(=O)[C@H]2CC[C@@]13COC(=O)[C@@H]3C2
832,carbonyl,ald,O=C[C@H]1CO[C@@H](n2cnc3c(Cl)nc(F)nc32)[C@H]1F,Fc1nc(Cl)c2ncn([C@@H]3OC[C@H](C=P(c4ccccc4)(c4ccccc4)[Yb]4CCCCC4)[C@@H]3F)c2n1
833,carbonyl,ald,COc1ccc(C[C@H](C)C=O)cc1OC,COc1ccc(C[C@H](C)C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)cc1OC
834,carbonyl,ald,COC(=O)c1ccc2cc(C=O)c3ccccc3c2c1,COC(=O)c1ccc2cc(C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)c3ccccc3c2c1
835,carbonyl,keto,CC1(c2ccccc2)CC(=O)C1,CC1(c2ccccc2)CC(=O)C1
836,carbonyl,ald,C[C@H](CCC#CCCC[C@H](C)CCOCc1ccccc1)CCC=O,C[C@H](CCC#CCCC[C@H](C)CCOCc1ccccc1)CCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
837,carbonyl,ald,O=CC[C@H](OC(=O)c1ccccc1)[C@H](O)COC(=O)c1ccccc1,O=C(OC[C@@H](O)[C@H](CC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)OC(=O)c1ccccc1)c1ccccc1
838,carbonyl,keto,COC(=O)c1cc(C(C)=O)c(OCc2ccccc2)cc1OCc1ccccc1,COC(=O)c1cc(C(C)=O)c(OCc2ccccc2)cc1OCc1ccccc1
839,carbonyl,ald,CC(=O)OCCCCCCCCCCCC=O,CC(=O)OCCCCCCCCCCCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
840,carbonyl,ald,CO[C@@H]1[C@@H](O[Si](C)(C)C(C)(C)C)[C@H](C)[C@@H](CC=O)[C@@H](O)[C@@H]1OC,CO[C@@H]1[C@@H](O[SiH3])[C@H](C)[C@@H](CC=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)[C@@H](O)[C@@H]1OC
841,alkyl,alkyl,Cc1ccc(-c2c3nc(c(-c4ccc(C)cc4)c4ccc([nH]4)c4cc(C=P(c5ccccc5)(c5ccccc5)c5ccccc5)c([nH]4)c(-c4ccc(C)cc4)c4ccc2[nH]4)C=C3)cc1,Cc1ccc(-c2c3nc(c(-c4ccc(C)cc4)c4ccc([nH]4)c4cc(C=P(c5ccccc5)(c5ccccc5)[Yb]5CCCCC5)c([nH]4)c(-c4ccc(C)cc4)c4ccc2[nH]4)C=C3)cc1
842,carbonyl,ald,CC(C)(C)[Si](C)(C)Oc1ccc(Br)c(C=O)c1,[SiH3]Oc1ccc(Br)c(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c1
843,carbonyl,ald,C/C(C=O)=C\C=C\C=C(/C)C=O,C/C(C=O)=C\C=C\C=C(/C)C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
844,carbonyl,ald,O=CC1CC(c2ccc(C(F)(F)F)cc2)CN(C(=O)N2CCOCC2)C1,O=C(N1CCOCC1)N1CC(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)CC(c2ccc(C(F)(F)F)cc2)C1
845,carbonyl,ald,C/C(C)=C/CC[C@H](C)CCOc1ccc(C=O)cc1,CC(C)=CCC[C@H](C)CCOc1ccc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)cc1
846,carbonyl,ald,O=C[C@@H]1O[C@H](c2ccccc2)OC[C@H]1O,O[C@@H]1CO[C@@H](c2ccccc2)O[C@H]1C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
847,carbonyl,ald,Cc1cc(C)n2nc(C=O)nc2n1,Cc1cc(C)n2nc(C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)nc2n1
848,carbonyl,ald,O=Cc1ccccc1-c1cccc2cc3ccccc3cc12,C(c1ccccc1-c1cccc2cc3ccccc3cc12)=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
849,carbonyl,ald,Cc1ccc(Oc2ccc(C=O)cc2)cc1F,Cc1ccc(Oc2ccc(C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)cc2)cc1F
850,carbonyl,ald,COc1ccc(COC[C@H](C=O)[C@@H](O)/C(Cc2ccccc2)=N/OC(C)=O)cc1,COc1ccc(COC[C@H](C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)[C@@H](O)/C(Cc2ccccc2)=N/OC(C)=O)cc1
851,carbonyl,ald,Cn1c(C=O)cc2cc(C#N)c(Cl)cc21,Cn1c(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)cc2cc(C#N)c(Cl)cc21
852,carbonyl,ald,O=Cc1cc(C(=O)Nc2cc(CCCCCCN3C(=O)c4ccccc4C3=O)c(OCCCCCCN3C(=O)c4ccccc4C3=O)c(CCCCCCN3C(=O)c4ccccc4C3=O)c2)n(Cc2ccccc2)c1C#CC(O)(c1ccccc1)c1ccccc1,O=C(Nc1cc(CCCCCCN2C(=O)c3ccccc3C2=O)c(OCCCCCCN2C(=O)c3ccccc3C2=O)c(CCCCCCN2C(=O)c3ccccc3C2=O)c1)c1cc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c(C#CC(O)(c2ccccc2)c2ccccc2)n1Cc1ccccc1
853,carbonyl,ald,C[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](C)C=O,C[C@H](O[SiH3])[C@@H](C)C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
854,carbonyl,ald,O=Cc1ccc(C2CCC(F)(F)CC2)c(F)c1,Fc1cc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)ccc1C1CCC(F)(F)CC1
855,carbonyl,ald,O=Cc1ccccc1C#CCc1ccccc1,C(#Cc1ccccc1C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)Cc1ccccc1
856,alkyl,alkyl,C([C@H]1CC(CCc2ccccc2)=NO1)=P(c1ccccc1)(c1ccccc1)c1ccccc1,C([C@H]1CC(CCc2ccccc2)=NO1)=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
857,carbonyl,keto,CC1(C)[C@H]2CC[C@@H]3C(=O)C(=O)N(CC2)[C@@H]31,CC1(C)[C@H]2CC[C@@H]3C(=O)C(=O)N(CC2)[C@@H]31
858,carbonyl,ald,O=Cc1c(I)ccc(F)c1Br,Fc1ccc(I)c(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c1Br
859,carbonyl,keto,CC(=O)c1ccccc1NC(=O)C(Cl)(Cl)Cl,CC(=O)c1ccccc1NC(=O)C(Cl)(Cl)Cl
860,carbonyl,ald,O=Cc1ccc2c(F)c(F)cc(F)c2n1,Fc1cc(F)c2nc(C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)ccc2c1F
861,carbonyl,keto,O=C1CCC2(CC1Cc1ccc(Br)cc1)OCCO2,O=C1CCC2(CC1Cc1ccc(Br)cc1)OCCO2
862,alkyl,alkyl,CC[C@@H](C)C=P(c1ccccc1)(c1ccccc1)c1ccccc1,CC[C@@H](C)C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
863,carbonyl,ald,CCCCC(=O)/C=C/CCC=O,CCCCC(=O)/C=C/CCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
864,carbonyl,ald,CCCCC[C@@]1(C=O)C[C@@H](O[Si](C)(C)C(C)(C)C)CN1Cc1ccccc1,CCCCC[C@@]1(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)C[C@@H](O[SiH3])CN1Cc1ccccc1
865,carbonyl,keto,[C-]#[N+]c1cnccc1C(=O)c1ccccc1,[C-]#[N+]c1cnccc1C(=O)c1ccccc1
866,carbonyl,keto,O=C1CC2CCC3(CC2C1)OCCO3,O=C1CC2CCC3(CC2C1)OCCO3
867,carbonyl,keto,C=CCN(C(=O)OC(C)(C)C)[C@@H](Cc1ccccc1)C(C)=O,C=CCN(C(=O)OC(C)(C)C)[C@@H](Cc1ccccc1)C(C)=O
868,carbonyl,ald,COc1ccc(COCC[C@H]2O[C@H]2C=O)cc1,COc1ccc(COCC[C@H]2O[C@H]2C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)cc1
869,carbonyl,keto,CC(=O)C1=CC2CCC1(C)CC2=O,CC(=O)C1=CC2CCC1(C)CC2=O
